,Unnamed: 0,Year,Month,Day,Hour,Minute,Second,Lat,Lon,Depth,Seismotectonic unit,Unit no.,mb,Ms,MN,ML,Mw (reported),Mw (estimated),Mw,Location Ref.,mb Ref.,Ms Ref.,MN Ref.,ML Ref.,Mw Ref. (reported),Mw Ref. (estimated),Assumed_uncertainty of Mw,1 Standard deviatoion for converted Mw,Unnamed: 27,References
8942,3180,1990,8,9,12,29,26,32.68,47.55,60,Zagros,5,4.4,3.8,,,,4.5,4.5,ISC,ISC,M2014,,,,Equation(3),,0.1738,,
8943,3514,1993,6,14,12,45,29,32.89,47.38,24,Zagros,5,4.8,3.9,,,,4.9,4.9,ISC-EHB,ISC,ISC,,,,Equation(3),,0.1741,,
8944,3583,1994,3,9,6,13,38,32.7,47.4,10,Zagros,5,4.5,4,,,,4.6,4.6,ISC,ISC,M2014,,,,Equation(3),,0.1739,,
8945,5540,2003,10,14,22,25,54,32.76,47.43,28,Zagros,5,3.9,3.1,3.2,,,3.9,3.9,ISC,ISC,M2014,IRSC,,,Equation(3),,0.1738,,
8946,6882,2007,1,7,22,18,1,32.77,47.48,3.6,Zagros,5,4,3.3,3.6,3.3,,3.6,3.6,IRSC,ISC,M2014,IRSC,IIEES,,Equation(7),,0.1489,,
8947,7896,2008,3,17,20,49,34,32.88,47.37,2.2,Zagros,5,4.1,3.4,3.5,3.5,,3.4,3.4,IRSC,ISC,M2014,IRSC,IIEES,,Equation(7),,0.1491,,
8948,8745,2009,3,21,21,13,0,32.78,47.57,12.4,Zagros,5,,,3.1,,,3,3,IRSC,,,IRSC,,,Equation(7),,0.15,,
8949,9761,2010,6,25,8,11,24,32.74,47.56,21.1,Zagros,5,,,3.2,,,3.1,3.1,IRSC,,,IRSC,,,Equation(7),,0.1498,,
8950,14527,2016,3,13,0,26,7,32.72,47.54,8,Zagros,5,,,3.1,,,3,3,IRSC,,,IRSC,,,Equation(7),,0.15,,
8951,15343,2017,2,13,9,14,7,32.88,47.53,7.3,Zagros,5,,,3.7,,,3.7,3.7,IRSC,,,IRSC,,,Equation(7),,0.1487,,
